Pozicija;Dalyvis;Metai;Distancija;Laikas
232;Mindaugas Venckus;2012;42;3:58:51
233;Zigmas Čepulėnas;2012;42;3:58:52
234;Antanas Karalius;2012;42;3:58:55
235;Marius Mikelėnas;2012;42;3:58:57
236;Anssi Raevuori;2012;42;3:59:10
237;Sigitas Pranskūnas;2012;42;3:59:14
238;Vilija Damašickienė;2012;42;3:59:17
239;Antanas Venckus;2012;42;3:59:22
240;Antanas Danys;2012;42;3:59:25
241;Mindaugas Griūnas;2012;42;3:59:26
242;giedre krenciute;2012;42;3:59:31
243;Rimantas Butkevičius;2012;42;3:59:41
244;Tomasz Grott;2012;42;3:59:41
