Pozicija;Dalyvis;Metai;Distancija;Laikas
213;Arvydas Isoda;2010;42;4:35:53
213;Valentinas Deviatnikovas;2010;4.2;12:22:25
214;Viktoras Karaliūnas;2010;42;4:36:24
214;Edvinas Slavinskas;2010;4.2;12:22:28
215;richard chivers;2010;42;4:38:34
215;Paulius Nasvytis;2010;4.2;12:22:30
216;Justinas Bartkevičius;2010;42;4:39:13
216;Sergejus Balakinas;2010;4.2;12:22:30
217;Edwin Gohing;2010;42;4:39:14
217;Gytis Leitonas;2010;4.2;12:22:33
218;Saulius Šlekys;2010;42;4:40:21
218;Saulius Palavinskas;2010;4.2;12:22:34
219;Tomas Šalkauskas;2010;42;4:40:35
219;Dmitrij Badrin;2010;4.2;12:22:35
220;Arūnas Kalakauskas;2010;42;4:41:22
220;Algis Sasnauskas;2010;4.2;12:22:41
221;Kowalski Maciej;2010;42;4:42:47
221;Agnė Butkutė;2010;4.2;12:22:43
222;Marijus Radavičius;2010;42;4:42:57
222;Jūratė Ragaišienė;2010;4.2;12:22:44
223;Mackowiak Valery;2010;42;4:44:19
223;Ieva Ragaišytė;2010;4.2;12:22:45
224;Solveiga Urnikytė;2010;42;4:45:41
224;Algirdas Survila;2010;4.2;12:22:47
225;Albinas Zakarauskas;2010;42;4:45:50
225;Kęstutis Velikianecas;2010;4.2;12:22:48
226;Vytis Garčinskas;2010;42;4:46:16
226;Martynas Juodis;2010;4.2;12:22:50
227;Valdas Brazaitis;2010;42;4:46:38
227;Renata Martinskienė;2010;4.2;12:22:50
228;Maciej Wypych;2010;42;4:46:49
228;Norbertas Genys;2010;4.2;12:22:51
229;Trochimowicz Artur;2010;42;4:47:01
229;Egidijus Snicorius;2010;4.2;12:22:52
230;Robert Hertlein;2010;42;4:47:39
230;Daiva Bludnickaite;2010;4.2;12:22:53
231;Andrius Žižiūnas;2010;42;4:47:42
231;Ugnius Stulginskas;2010;4.2;12:22:53
232;ANDREJ NAUBETCHANOV;2010;42;4:48:00
232;Petras Nargėla;2010;4.2;12:22:55
233;Vladimir Turčaninov;2010;42;4:48:14
233;Ignas Vizgirda;2010;4.2;12:22:55
234;Konstantin Rubekin;2010;42;4:49:13
234;Tomas Dirgėla;2010;4.2;12:22:56
235;Robertas Giedraitis;2010;42;4:49:57
235;Edvinas Markevičius;2010;4.2;12:22:56
236;Kęstas Mačiulaitis;2010;42;4:52:46
236;Laurynas Ivinskis;2010;4.2;12:22:57
237;Egidijus Kizlaitis;2010;42;4:53:04
237;Mindaugas Lastauskas;2010;4.2;12:22:58
238;Marek Gieruszyński;2010;42;4:53:20
238;Reinoldas Musteikis;2010;4.2;12:22:59
239;Maurice Timmins;2010;42;4:53:34
239;Eimantas Grigas;2010;4.2;12:22:59
240;Ranta Jürgen;2010;42;4:54:50
240;Vytautas Ragaišis;2010;4.2;12:23:00
241;Tadas Korsakas;2010;42;4:58:02
241;Jolanta Ramonienė;2010;4.2;12:23:03
242;Labuda Eugeniusz;2010;42;4:58:44
242;Aidas Pelenis;2010;4.2;12:23:03
243;Vidmantas Buivydas;2010;42;4:59:15
